"Contreras-Valdez, Mario, I"," Benavides Perales, Guillermo"
" Antonio Nunez, Jose"," Benavides Perales, Guillermo"
"Kim, Minjae"," Lee, Jinhee"
"Kim, Minjae"," Kwon, Hyunsoo"
"Kim, Minjae"," Hur, Junbeom"
" Lee, Jinhee"," Kwon, Hyunsoo"
" Lee, Jinhee"," Hur, Junbeom"
" Kwon, Hyunsoo"," Hur, Junbeom"
"Wu, Chang-Che"," Ho, Shu-Ling"
"Wu, Chang-Che"," Wu, Chih-Chiang"
" Ho, Shu-Ling"," Wu, Chih-Chiang"
"Cocco, Luisanna"," Tonelli, Roberto"
"Cocco, Luisanna"," Marchesi, Michele"
" Tonelli, Roberto"," Marchesi, Michele"
"Zhou, Chencheng"," Xing, Liudong"
"Zhou, Chencheng"," Guo, Jun"
"Zhou, Chencheng"," Liu, Qisi"
" Xing, Liudong"," Guo, Jun"
" Xing, Liudong"," Liu, Qisi"
" Guo, Jun"," Liu, Qisi"
"Edgari, Eric"," Thiojaya, Jocelyn"
"Edgari, Eric"," Qomariyah, Nunung Nurul"
" Thiojaya, Jocelyn"," Qomariyah, Nunung Nurul"
"Benlagha, Noureddine"," Hemrit, Wael"
"Chen, Shan-Wen"," Liu, Kuan-Po"
"Chen, Shan-Wen"," Tsai, Fu-Ching"
" Liu, Kuan-Po"," Tsai, Fu-Ching"
"Day, Min-Yuh"," Cheng, Yirung"
"Day, Min-Yuh"," Huang, Paoyu"
"Day, Min-Yuh"," Ni, Yensen"
" Cheng, Yirung"," Huang, Paoyu"
" Cheng, Yirung"," Ni, Yensen"
" Huang, Paoyu"," Ni, Yensen"
"Geng, Jinke"," Li, Yi"
"Geng, Jinke"," Fang, Li"
"Geng, Jinke"," Chen, Ping"
" Li, Yi"," Fang, Li"
" Li, Yi"," Chen, Ping"
" Fang, Li"," Chen, Ping"
"Murty, Sarika"," Victor, Vijay"
"Murty, Sarika"," Fekete-Farkas, Maria"
" Victor, Vijay"," Fekete-Farkas, Maria"
"Gerritsen, Dirk F."," Lugtigheid, Rick A. C."
"Gerritsen, Dirk F."," Walther, Thomas"
" Lugtigheid, Rick A. C."," Walther, Thomas"
"Heinonen, Henri T."," Veijalainen, Jari"
"Heinonen, Henri T."," Hamalainen, Timo"
" Semenov, Alexander"," Veijalainen, Jari"
" Semenov, Alexander"," Hamalainen, Timo"
" Veijalainen, Jari"," Hamalainen, Timo"
"Fratric, Peter"," Sileno, Giovanni"
"Fratric, Peter"," Klous, Sander"
"Fratric, Peter"," van Engers, Tom"
" Sileno, Giovanni"," Klous, Sander"
" Sileno, Giovanni"," van Engers, Tom"
" Klous, Sander"," van Engers, Tom"
"Sree, Ch Likhitha"," Meghana, M."
"Sree, Ch Likhitha"," Manjula, R."
"Sree, Ch Likhitha"," Mohan, D."
" Meghana, M."," Manjula, R."
" Meghana, M."," Mohan, D."
" Manjula, R."," Mohan, D."
"Hoque, Mohammad Enamul"," Low, Soo-Wah"
"Maghyereh, Aktham"," Abdoh, Hussein"
"Baur, Dirk G."," Oll, Josua"
"Ye, Zi"," Wu, Yinxu"
"Ye, Zi"," Chen, Hui"
"Ye, Zi"," Pan, Yi"
"Ye, Zi"," Jiang, Qingshan"
" Wu, Yinxu"," Chen, Hui"
" Wu, Yinxu"," Pan, Yi"
" Wu, Yinxu"," Jiang, Qingshan"
" Chen, Hui"," Pan, Yi"
" Chen, Hui"," Jiang, Qingshan"
" Pan, Yi"," Jiang, Qingshan"
"Gkillas, Konstantinos"," Bouri, Elie"
"Gkillas, Konstantinos"," Gupta, Rangan"
"Gkillas, Konstantinos"," Roubaud, David"
